,Symbol,Exchange,Volume,Volume %,+2% Depth,-2% Depth,Base,Quote
1390,OGN/BNB,Binance,990874.0,0.05,20575.39,36579.07,OGN,BNB
1391,OMG/BTC,Binance,18226940.0,0.05,428602.17,351805.82,OMG,BTC
1392,OMG/ETH,Binance,2058168.0,0.01,60422.7,141631.18,OMG,ETH
1393,OMG/VET,OceanEx,2300312.0,0.45,2073.84,3382.31,OMG,VET
1394,ONE/BNB,Binance,1457909.0,0.07,56101.28,109570.91,ONE,BNB
1395,PROM/BNB,Binance,1119669.0,0.06,20426.27,24304.3,PROM,BNB
1396,PROS/ETH,Binance,2185927.0,0.01,18771.81,13517.63,PROS,ETH
1397,RAD/BTC,Binance,16232454.0,0.04,37116.98,83535.19,RAD,BTC
1398,RUNE/BNB,Binance,594782.0,0.03,39784.74,69171.48,RUNE,BNB
1399,RVN/VET,OceanEx,662731.0,0.13,249.54,1226.34,RVN,VET
1400,SCRT/ETH,Binance,2681008.0,0.01,21355.48,89483.14,SCRT,ETH
1401,SLP/ETH,Binance,11041643.0,0.06,57729.23,58480.74,SLP,ETH
1402,SOL/AUD,Binance,2698495.0,0.1,16755.98,82824.78,SOL,AUD
1403,SOL/BIDR,Binance,661569.0,0.02,12731.35,9959.51,SOL,BIDR
1404,SOL/BNB,Binance,7677516.0,0.28,330136.81,394987.11,SOL,BNB
1405,SOL/BNB,Binance,7655414.0,0.38,330899.29,399036.14,SOL,BNB
1406,SOL/BNB,CoinDCX,6264.0,0.0,23244949.29,423828.99,SOL,BNB
1407,SOL/BRL,Binance,2255918.0,0.08,217627.42,92293.67,SOL,BRL
1408,SOL/BRL,NovaDAX,136047.0,0.0,146657.39,182934.48,SOL,BRL
1409,SOL/BTC,Binance,118979384.0,4.36,929683.73,981925.33,SOL,BTC
1410,SOL/BTC,Binance,118685850.0,0.31,991172.28,936123.48,SOL,BTC
1411,SOL/BTC,OKEx,87249096.0,3.2,487852.32,493425.97,SOL,BTC
1412,SOL/BTC,Coinbase Exchange,24087304.0,0.88,638772.28,803780.82,SOL,BTC
1413,SOL/BTC,Coinbase Exchange,24004960.0,0.06,769989.58,888400.32,SOL,BTC
1414,SOL/BTC,Bitglobal,12705026.0,0.47,621.96,1243.92,SOL,BTC
1415,SOL/BTC,FTX,12508977.0,0.46,676612.19,382851.6,SOL,BTC
1416,SOL/BTC,FTX,12504687.0,0.03,613597.84,468862.32,SOL,BTC
1417,SOL/BTC,Pionex,7159076.0,0.26,321276.91,563439.19,SOL,BTC
1418,SOL/BTC,Huobi Global,4687889.0,0.17,304356.53,407945.67,SOL,BTC
1419,SOL/BTC,FTX US,3606924.0,0.13,1136748.49,829098.67,SOL,BTC
1420,SOL/BTC,Crypto.com Exchange,329524.0,0.01,288206.22,321982.42,SOL,BTC
1421,SOL/BTC,CoinDCX,265630.0,0.01,17655462.22,104331638.28,SOL,BTC
1422,SOL/BTC,CoinEx,81264.0,0.0,18794.94,19769.14,SOL,BTC
1423,SOL/BTC,Bithumb,61293.0,0.0,10851.56,8999.42,SOL,BTC
1424,SOL/BUSD,Binance,135483070.0,4.97,1304169.46,1239255.41,SOL,BUSD
1425,SOL/ETH,OKEx,51272550.0,1.88,265171.93,318465.47,SOL,ETH
1426,SOL/ETH,Huobi Global,937269.0,0.03,50402.15,57870.35,SOL,ETH
1427,SOL/EUR,Coinbase Exchange,23412224.0,0.86,540794.01,621724.18,SOL,EUR
1428,SOL/EUR,Binance,10860329.0,0.4,203779.25,283164.77,SOL,EUR
1429,SOL/GBP,Coinbase Exchange,6732112.0,0.25,552239.65,658018.7,SOL,GBP
1430,SOL/GBP,Binance,1322948.0,0.05,186127.67,71706.77,SOL,GBP
1431,SOL/INR,CoinDCX,1218106.0,0.04,5194.52,11943.05,SOL,INR
1432,SOL/INR,WazirX,1026374.0,0.04,20964.46,11263.95,SOL,INR
1433,SOL/INR,Bitbns,470319.0,0.02,921880.09,848023.02,SOL,INR
1434,SOL/KRW,Bithumb,13330278.0,0.49,393371.6,818089.4,SOL,KRW
1435,SOL/QC,ZB.COM,2326790.0,0.09,23582.07,27323.3,SOL,QC
1436,SOL/RUB,Binance,98622.0,0.0,3960.39,17029.08,SOL,RUB
1437,SOL/TRY,Bitexen,33015052.0,1.21,55478.17,91413.93,SOL,TRY
1438,SOL/TRY,Binance,30446192.0,1.12,347319.46,147223.16,SOL,TRY
1439,SOL/TRY,BtcTurk | Pro,12685732.0,0.46,456566.84,758317.87,SOL,TRY
1440,SOL/TRY,Paribu,3627871.0,0.13,264120.36,734090.22,SOL,TRY
1441,SOL/USD,Coinbase Exchange,289259100.0,10.6,2012555.79,2369176.78,SOL,USD
1442,SOL/USD,FTX,157010660.0,5.75,2039040.72,1790922.14,SOL,USD
1443,SOL/USD,Binance.US,65788790.0,2.41,1226068.36,1201355.56,SOL,USD
1444,SOL/USD,Bitfinex,28550880.0,1.05,4032042.64,2905364.44,SOL,USD
1445,SOL/USD,FTX US,17151610.0,0.63,1524800.73,1049597.78,SOL,USD
1446,SOL/USD,CEX.IO,1381448.0,0.05,75051.62,92286.58,SOL,USD
1447,SOL/USD,Coinlist Pro,104486.0,0.0,27795.19,35328.66,SOL,USD
1448,SOL/USDC,Binance,2192202.0,0.08,165131.98,206330.66,SOL,USDC
1449,SOL/USDC,Crypto.com Exchange,1030886.0,0.04,3070987.79,3267913.76,SOL,USDC
1450,SOL/USDC,CoinEx,23873.0,0.0,3084.01,4395.4,SOL,USDC
