Exchange,Symbol,Price,+2% Depth,-2% Depth,Volume,Volume %,Confidence,Liquidity,Updated,Base,Quote
Coinbase Exchange,ETH/GBP,3596.62,2130892.32,1466192.15,29447016.0,0.15,High,498.0,Recently,ETH,GBP
Coinbase Exchange,ETH/USDT,3604.94,1193858.42,1092325.82,28054042.0,0.15,High,437.0,Recently,ETH,USDT
Coinbase Exchange,ETH/USDC,3594.68,2393794.72,2898313.99,25750867.0,0.13,High,479.0,Recently,ETH,USDC
Binance,BNB/ETH,3595.27,294733.86,965007.31,24814581.0,0.13,High,683.0,Recently,BNB,ETH
Binance,ETH/TRY,3595.52,790557.16,457180.06,24188345.0,0.13,High,678.0,Recently,ETH,TRY
Poloniex,ETH/BTC,3603.02,698475.36,554327.84,22510643.0,0.12,High,748.0,Recently,ETH,BTC
FTX,ETH/BTC,3603.4,2059153.95,1700360.85,20903071.0,0.11,High,631.0,Recently,ETH,BTC
KuCoin,ETH/BTC,3603.86,2290510.6,766493.42,19682562.0,0.1,High,661.0,Recently,ETH,BTC
Binance,ADA/ETH,3595.27,445805.14,503722.06,19074460.0,0.1,High,688.0,Recently,ADA,ETH
Bitfinex,ETH/BTC,3604.62,6318990.11,4779329.04,18103518.0,0.09,High,590.0,Recently,ETH,BTC
Coinbase Exchange,ADA/ETH,3595.27,369089.06,317024.32,16847626.0,0.09,High,215.0,Recently,ADA,ETH
Bitstamp,ETH/EUR,3595.14,2127925.48,1604619.97,16040403.0,0.08,High,337.0,Recently,ETH,EUR
Bitfinex,ETH/UST,3598.72,4466013.23,2696716.55,14566624.0,0.08,High,514.0,Recently,ETH,UST
Binance,ETH/GBP,3539.91,470824.46,235211.25,14276554.0,0.07,High,504.0,Recently,ETH,GBP
Binance,ETH/DAI,3595.6,574370.98,378654.07,13768799.0,0.07,High,522.0,Recently,ETH,DAI
Binance.US,ETH/USDT,3597.98,1140168.49,834352.55,13560716.0,0.07,High,928.0,Recently,ETH,USDT
Binance,SLP/ETH,3595.27,57729.23,58480.74,11041643.0,0.06,High,915.0,Recently,SLP,ETH
